# n_neighbors,slab_index,site_index,metal_index,energy
1,84,5,3,1.085140
1,84,6,4,0.847994
1,84,7,4,0.832634
1,84,8,1,1.451626
3,85,0,2,0.150433
2,85,4,0,0.881761
1,85,2,5,0.645037
2,85,3,0,0.858548
1,85,4,0,1.257190
1,85,5,3,0.925810
3,85,6,5,0.348553
1,85,7,3,0.944936
1,85,8,3,0.903430
2,86,0,5,-0.227040
1,86,1,3,1.036386
3,86,2,5,-0.234441
1,86,3,3,1.046737
3,86,6,5,-0.255844
2,86,5,3,0.701768
2,86,6,5,-0.203572
3,86,6,5,-0.261731
3,86,7,5,0.619963
1,87,0,1,1.313846
1,87,1,1,1.369107
1,87,2,1,1.320239
3,87,6,5,0.094240
2,87,6,5,-0.011886
3,87,5,2,0.100114
3,87,6,5,-0.054355
3,87,7,2,0.011416
3,87,8,2,0.094777
3,88,0,5,0.368548
2,88,1,3,0.795006
1,88,2,1,1.336724
1,88,3,0,1.271667
1,88,4,3,0.992088
2,88,5,0,0.914073
2,88,6,4,0.703766
1,88,7,4,0.878515
2,88,8,5,0.325566
1,89,0,4,0.814060
3,89,2,2,0.641477
3,89,2,2,0.615366
1,89,3,1,1.591231
1,89,4,1,1.551984
1,89,5,4,1.057834
1,89,6,4,0.894971
1,89,7,3,1.285385
2,89,8,0,1.082724
1,90,0,3,0.975910
2,90,1,2,0.677101
1,90,2,3,1.051667
1,90,3,2,0.951357
1,90,4,3,0.958381
1,90,5,2,0.835411
1,90,6,3,1.024093
1,90,7,2,0.850320
1,90,8,2,0.934349
1,91,0,3,0.948219
1,91,1,5,0.656886
3,91,4,5,-0.215339
3,91,1,5,-0.150063
3,91,1,5,-0.146619
2,91,5,1,0.551952
3,91,6,5,-0.077252
2,91,4,5,0.123226
1,91,8,4,0.813841
3,92,0,5,-0.123096
1,92,1,1,1.196465
1,92,2,1,1.204732
1,92,3,0,1.222958
1,92,4,0,1.273186
1,92,5,5,0.434816
1,92,6,1,1.167343
1,92,7,0,1.231777
3,92,5,5,0.163478
2,93,0,3,0.786430
3,93,1,5,0.219637
1,93,2,1,1.280558
2,93,3,1,0.870107
1,93,4,3,1.080883
3,93,5,5,0.395029
1,93,6,3,1.046813
1,93,7,0,1.248997
1,93,8,0,1.303426
3,94,0,5,-0.049371
1,94,1,1,1.335365
2,94,5,5,0.086155
1,94,3,3,1.062074
2,94,5,5,0.070490
2,94,7,5,-0.063174
2,94,7,5,0.096352
2,94,7,5,-0.011055
1,94,8,5,0.649877
2,95,0,2,0.604877
3,95,1,3,0.597402
1,95,2,4,0.957051
3,95,4,2,0.149777
3,95,7,2,0.187995
1,95,5,5,0.751044
2,95,7,2,0.261907
3,95,7,2,0.597713
1,95,8,4,0.731968
1,96,0,1,1.526279
1,96,1,1,1.554901
1,96,2,3,1.204587
1,96,3,3,1.164915
1,96,4,4,0.819169
2,96,5,2,0.845526
1,96,6,4,0.906512
2,96,7,2,0.744201
1,96,8,4,0.823414
2,97,3,0,1.037363
3,97,1,2,0.632949
2,97,2,1,1.129197
3,97,1,2,0.615123
1,97,4,4,0.926585
3,97,5,1,1.085208
2,97,6,3,0.857492
2,97,7,4,0.695399
1,97,8,1,1.384781
1,98,0,1,1.172692
2,98,1,0,0.907043
1,98,2,0,1.303625
1,98,3,0,1.398598
3,98,4,1,0.885607
2,98,5,0,0.977824
1,98,6,0,1.386558
2,98,7,0,1.004382
1,98,8,4,0.693086
2,99,0,2,0.491638
1,99,1,4,0.990876
1,99,2,4,1.020955
2,99,3,4,0.604480
2,99,5,5,0.712151
2,99,5,5,0.370827
2,99,6,2,0.742148
1,99,7,1,1.354507
1,99,8,2,0.983287
1,100,0,3,1.001126
2,100,1,0,1.011197
1,100,2,0,1.425242
3,100,4,3,0.914207
1,100,4,3,1.072985
3,100,5,1,0.996834
1,100,6,1,1.371382
1,100,7,3,1.104272
2,100,8,5,0.466323
2,101,1,5,-0.000502
1,101,1,5,0.527942
1,101,2,1,1.150389
1,101,3,1,1.217684
1,101,4,5,0.461683
1,101,5,1,1.145910
1,101,6,5,0.264959
2,101,6,5,0.350782
2,101,8,5,-0.020299
1,102,0,0,1.430513
1,102,1,4,1.003088
2,102,2,2,0.599722
1,102,3,4,0.894805
1,102,4,1,1.340858
3,102,5,5,0.229448
1,102,6,1,1.405688
1,102,7,5,0.528206
1,102,8,4,0.926931
1,103,0,4,0.746165
2,103,1,3,0.706594
1,103,2,3,1.066840
3,103,3,5,0.754398
1,103,4,3,0.975591
2,103,7,3,0.884014
1,103,6,4,0.735344
2,103,7,3,0.635717
1,103,8,3,0.986938
2,104,0,2,0.074032
1,104,1,1,1.194854
2,104,2,5,0.087906
3,104,3,5,0.136272
3,104,2,5,0.053564
1,104,5,2,0.682608
2,104,6,2,0.035689
3,104,7,5,-0.041388
2,104,8,2,0.257965
1,105,0,2,0.929826
3,105,3,2,0.330922
1,105,2,1,1.322270
3,105,3,2,0.463057
1,105,4,4,0.746294
2,105,5,2,0.395988
1,105,6,2,1.129534
1,105,7,1,1.488494
1,105,8,4,0.753564
1,106,0,4,0.956442
1,106,1,1,1.591544
1,106,2,3,1.193504
1,106,3,1,1.585182
1,106,4,1,1.483658
1,106,5,3,1.220327
1,106,6,4,0.969953
1,106,7,4,0.909274
3,106,8,1,1.420942
2,107,0,4,0.737639
1,107,1,0,1.402447
3,107,2,2,0.473776
2,107,3,2,0.753546
1,107,4,1,1.224984
1,107,5,4,0.952133
1,107,6,1,1.392230
1,107,7,4,0.997603
3,107,8,2,0.475512
1,108,0,4,0.883479
1,108,1,2,0.816282
1,108,2,4,0.835371
1,108,3,2,0.828260
3,108,4,5,-0.111416
2,108,5,5,0.118826
3,108,4,5,-0.113153
2,108,5,5,0.194903
3,108,8,2,-0.055412
3,109,0,0,0.226178
1,109,1,4,0.907230
2,109,2,5,0.190412
2,109,3,2,0.535158
2,109,4,5,0.249069
1,109,5,0,1.130858
1,109,6,4,0.812978
3,109,4,5,0.011357
1,109,8,4,0.855763
2,110,0,5,-0.223988
3,110,1,5,-0.272390
3,110,2,1,-0.230553
1,110,3,0,1.248205
1,110,4,4,0.729160
1,110,5,1,1.273745
2,110,6,5,0.443795
3,110,7,5,-0.269926
1,110,8,0,1.252578
