# n_neighbors,slab_index,site_index,metal_index,energy
1,45,0,4,-1.441992
1,45,1,0,-0.129130
1,45,2,0,-0.110212
1,45,3,4,-1.498579
1,45,4,1,-0.206757
1,45,5,0,-0.093674
1,45,6,4,-1.334000
1,45,7,0,-0.115677
1,45,8,0,-0.132016
1,46,0,0,-0.118851
1,46,1,5,0.006862
1,46,2,0,-0.057318
1,46,3,1,-0.184360
1,46,4,0,-0.209930
1,46,5,0,-0.055973
1,46,6,0,-0.164712
1,46,7,3,-1.079665
1,46,8,0,-0.118841
1,47,0,1,-0.034471
1,47,1,1,-0.241847
1,47,2,1,-0.119303
1,47,3,1,-0.266653
1,47,4,2,-0.497903
1,47,5,5,-0.054635
1,47,6,1,-0.285407
1,47,7,2,-0.575382
1,47,8,2,-0.568716
1,48,0,5,-0.012844
1,48,1,4,-1.576212
1,48,2,1,-0.313807
1,48,3,1,-0.353479
1,48,4,1,-0.229615
1,48,5,4,-1.577801
1,48,6,4,-1.610324
1,48,7,4,-1.550163
1,48,8,1,-0.225459
1,49,0,3,-1.070241
1,49,1,2,-0.514249
1,49,2,2,-0.501204
1,49,3,5,0.002924
1,49,4,3,-0.757430
1,49,5,4,-1.491519
1,49,6,3,-1.139997
1,49,7,0,-0.102091
1,49,8,3,-1.020219
1,50,0,5,-0.048183
1,50,1,5,-0.023804
1,50,2,5,-0.023783
1,50,3,5,-0.024900
1,50,4,5,-0.001920
1,50,5,2,-0.388875
1,50,6,5,-0.003671
1,50,7,5,-0.023664
0,50,8,5,-0.181681
1,51,0,5,0.041218
1,51,1,0,-0.163474
1,51,2,3,-0.706663
1,51,3,5,0.033060
1,51,4,5,0.007137
1,51,5,3,-0.794561
1,51,6,3,-1.051001
1,51,7,0,-0.129849
1,51,8,1,-0.105010
1,52,0,3,-1.037286
1,52,1,5,-0.009626
1,52,2,0,-0.115850
1,52,3,5,0.019927
1,52,4,0,-0.156145
1,52,5,0,-0.161894
1,52,6,5,0.024247
1,52,7,3,-0.949225
1,52,8,3,-1.021683
1,53,0,0,-0.146579
1,53,1,5,0.019163
1,53,2,0,-0.166461
1,53,3,0,-0.168206
1,53,4,0,-0.140724
1,53,5,1,-0.212394
1,53,6,4,-1.648982
1,53,7,1,-0.134371
1,53,8,0,-0.203759
1,54,0,2,-0.518241
1,54,1,1,-0.141426
1,54,2,5,0.049308
1,54,3,5,-0.090200
0,54,4,5,-0.090200
1,54,5,5,0.001558
1,54,6,5,-0.111712
1,54,7,1,-0.082400
1,54,8,5,-0.109737
1,55,0,4,-1.478199
1,55,1,2,-0.445348
1,55,2,1,-0.206567
1,55,3,1,-0.248756
1,55,4,4,-1.453670
1,55,5,1,-0.106377
1,55,6,1,-0.183497
1,55,7,4,-1.495516
1,55,8,1,-0.224310
1,56,0,4,-1.419372
1,56,1,0,-0.044655
1,56,2,4,-1.375097
1,56,3,0,-0.101656
1,56,4,4,-1.345010
1,56,5,0,-0.109008
1,56,6,0,-0.087424
1,56,7,0,-0.136692
1,56,8,5,-0.008678
1,57,0,5,-0.062716
1,57,1,4,-1.366588
1,57,2,2,-0.516592
1,57,3,4,-1.474017
1,57,4,4,-1.495985
1,57,5,2,-0.441929
1,57,6,4,-1.154633
1,57,7,5,-0.045640
1,57,8,4,-1.552529
1,58,0,4,-1.398187
1,58,1,1,-0.116425
1,58,2,4,-1.356634
1,58,3,2,-0.520039
1,58,4,4,-1.376485
1,58,5,5,-0.047302
1,58,6,4,-1.448227
1,58,7,5,-0.041079
1,58,8,5,-0.065426
1,59,0,2,-0.596580
1,59,1,5,0.042811
1,59,2,1,-0.227000
1,59,3,0,-0.210684
1,59,4,2,-0.533491
1,59,5,2,-0.507436
1,59,6,2,-0.654804
1,59,7,0,-0.156810
1,59,8,0,-0.210326
1,60,0,5,0.017143
1,60,1,3,-0.932165
1,60,2,3,-1.029661
1,60,3,3,-0.914407
1,60,4,4,-1.497624
1,60,5,3,-1.054102
1,60,6,1,-0.227111
1,60,7,4,-1.465948
1,60,8,4,-1.500490
1,61,0,4,-1.640755
1,61,1,2,-0.528753
1,61,2,0,-0.163278
1,61,3,2,-0.502279
1,61,4,4,-1.453375
1,61,5,2,-0.454906
1,61,6,0,-0.140514
1,61,7,4,-1.542672
1,61,8,0,-0.174453
1,62,0,2,-0.464739
1,62,1,2,-0.598547
1,62,2,2,-0.453016
1,62,3,2,-0.494874
1,62,4,2,-0.487433
1,62,5,4,-1.535932
1,62,6,4,-1.392478
1,62,7,4,-1.432197
1,62,8,2,-0.438512
1,63,0,0,-0.147294
1,63,1,1,-0.171361
1,63,2,0,-0.164589
1,63,3,3,-1.079468
1,63,4,5,0.029355
1,63,5,0,-0.163308
1,63,6,5,0.073037
1,63,7,3,-1.055618
1,63,8,3,-1.120128
1,64,0,3,-1.056713
1,64,1,1,-0.201162
1,64,2,1,-0.192753
1,64,3,1,-0.231284
1,64,4,5,-0.039012
1,64,5,5,-0.031576
1,64,6,3,-1.035253
1,64,7,4,-1.450171
1,64,8,0,-0.077217
1,65,0,2,-0.523932
1,65,1,2,-0.530051
1,65,2,2,-0.529703
1,65,3,0,-0.208699
1,65,4,5,-0.104854
1,65,5,2,-0.643694
1,65,6,5,0.029183
1,65,7,4,-1.536699
1,65,8,0,-0.153923
1,66,0,5,-0.099714
1,66,1,0,-0.167938
1,66,2,5,-0.039357
1,66,3,1,-0.269943
1,66,4,1,-0.107017
1,66,5,2,-0.541154
1,66,6,5,-0.106723
1,66,7,2,-0.589350
1,66,8,1,-0.294763
1,67,0,2,-0.529902
1,67,1,1,-0.195358
1,67,2,1,-0.196113
1,67,3,1,-0.255573
1,67,4,0,-0.139122
1,67,5,5,-0.019651
1,67,6,0,-0.132090
1,67,7,4,-1.145816
1,67,8,1,-0.126144
1,68,0,2,-0.524818
1,68,1,2,-0.488107
1,68,2,2,-0.509063
1,68,3,4,-1.553370
1,68,4,4,-1.622979
1,68,5,2,-0.520286
1,68,6,4,-1.532634
1,68,7,5,-0.012790
1,68,8,4,-1.581193
1,69,0,1,-0.187610
1,69,1,2,-0.545494
1,69,2,1,-0.293037
1,69,3,1,-0.153114
1,69,4,0,-0.195267
1,69,5,1,-0.191146
1,69,6,1,-0.113586
1,69,7,1,-0.196430
1,69,8,4,-1.501615
1,70,0,1,-0.264225
1,70,1,0,-0.139251
1,70,2,3,-1.153738
1,70,3,0,-0.146714
1,70,4,3,-1.166524
1,70,5,0,-0.106437
