# n_neighbors,slab_index,site_index,metal_index,energy
3,51,0,5,-1.533180
3,51,0,5,-1.484357
3,51,4,5,-1.142465
3,51,3,5,-1.475964
3,51,3,5,-1.504722
3,51,4,5,-1.216247
1,51,6,3,-0.568261
1,51,7,0,-0.245414
1,51,8,1,-0.263695
2,52,0,3,-1.180594
2,52,1,5,-1.281569
3,52,1,5,-1.313273
3,52,3,5,-1.600925
1,52,4,0,-0.402713
3,52,7,3,-0.816208
2,52,6,5,-1.158302
1,52,7,3,-0.529928
1,52,8,3,-0.590280
1,53,0,0,-0.196342
3,53,1,5,-1.243228
3,53,1,5,-1.240834
1,53,3,0,-0.294719
2,53,4,0,-0.666620
3,53,5,1,-0.789322
1,53,6,4,-0.821789
1,53,7,1,-0.227224
1,53,8,0,-0.240858
3,54,0,2,-1.472230
1,54,1,1,-0.265414
2,54,2,5,-1.450179
3,54,3,5,-1.689698
2,54,6,5,-1.541907
1,54,5,5,-0.894142
2,54,6,5,-1.661073
1,54,7,1,-0.273800
3,54,8,5,-1.760954
1,55,0,4,-0.646163
1,55,1,2,-0.235705
1,55,2,1,-0.034665
1,55,3,1,-0.112948
1,55,4,4,-0.604864
1,55,5,1,0.139315
1,55,6,1,-0.001119
1,55,7,4,-0.680943
1,55,8,1,-0.005502
1,56,0,4,-0.705906
1,56,1,0,-0.145206
1,56,2,4,-0.650108
2,56,3,0,-1.194512
1,56,4,4,-0.611408
1,56,5,0,-0.108787
3,56,3,0,-1.343560
1,56,7,0,-0.183864
3,56,8,5,-1.302658
2,57,0,5,-1.101257
1,57,1,4,-0.724883
3,57,2,2,-1.309109
1,57,3,4,-0.709936
1,57,4,4,-0.696229
3,57,5,2,-1.309742
3,57,6,4,-0.966778
1,57,7,5,-0.479355
1,57,8,4,-0.777239
1,58,0,4,-0.647034
1,58,1,1,-0.029863
1,58,2,4,-0.650591
2,58,3,2,-1.666863
1,58,4,4,-0.598564
3,58,8,5,-1.792241
1,58,6,4,-0.685591
3,58,8,5,-1.786229
3,58,8,5,-1.841839
3,59,0,2,-1.525767
2,59,1,5,-1.208667
1,59,2,1,-0.302077
2,59,3,0,-0.792128
3,59,6,2,-1.298925
3,59,5,2,-1.155410
2,59,6,2,-0.971445
1,59,7,0,-0.312621
3,59,7,0,-1.128279
3,60,0,5,-0.925988
1,60,1,3,-0.385466
1,60,2,3,-0.440900
1,60,3,3,-0.413885
1,60,4,4,-0.733235
3,60,5,3,-0.948688
1,60,6,1,-0.038660
1,60,7,4,-0.672377
1,60,8,4,-0.685571
1,61,0,4,-0.895786
3,61,1,2,-1.054003
1,61,2,0,-0.064780
2,61,3,2,-0.866525
1,61,4,4,-0.653399
1,61,5,2,-0.435990
3,61,6,0,-0.568114
1,61,7,4,-0.737692
3,61,8,0,-0.557713
1,62,0,2,-0.373177
2,62,1,2,-1.180047
3,62,1,2,-1.267824
3,62,1,2,-1.232265
3,62,4,2,-1.270767
1,62,5,4,-0.756947
1,62,6,4,-0.620308
1,62,7,4,-0.659638
1,62,8,2,-0.377646
3,63,0,0,-0.624912
2,63,1,1,-0.315677
3,63,2,0,-0.726973
1,63,3,3,-0.602446
1,63,4,5,-0.850717
3,63,4,5,-1.064186
3,63,6,5,-1.139824
3,63,6,5,-1.168023
1,63,8,3,-0.538117
1,64,0,3,-0.370863
1,64,1,1,-0.187241
1,64,2,1,-0.200749
1,64,3,1,-0.207350
1,64,4,5,-0.826735
2,64,4,5,-1.413417
1,64,6,3,-0.464173
1,64,7,4,-0.694088
1,64,8,0,-0.060131
3,65,0,2,-1.370263
2,65,1,2,-0.946460
1,65,2,2,-0.740170
1,65,3,0,-0.361039
3,65,4,5,-1.378928
3,65,5,2,-1.091620
2,65,6,5,-1.236230
1,65,7,4,-0.752469
1,65,8,0,-0.271570
3,66,0,5,-1.817807
2,66,0,5,-1.234944
3,66,2,5,-1.788720
1,66,3,1,-0.340428
1,66,4,1,-0.226374
1,66,5,2,-0.722644
1,66,6,5,-0.960127
3,66,6,5,-1.740219
1,66,8,1,-0.338968
2,67,0,2,-0.792134
1,67,1,1,-0.149983
1,67,2,1,-0.279315
1,67,3,1,-0.304982
1,67,4,0,-0.199483
2,67,5,5,-1.121023
1,67,6,0,-0.126933
1,67,7,4,-0.564659
1,67,8,1,-0.148278
3,68,0,2,-1.034949
3,68,1,2,-0.912041
1,68,2,2,-0.432246
1,68,3,4,-0.722560
1,68,4,4,-0.845508
3,68,2,2,-1.096476
1,68,6,4,-0.708244
3,68,7,5,-0.990192
1,68,8,4,-0.773632
1,69,0,1,-0.122175
1,69,1,2,-0.564185
1,69,2,1,-0.149365
1,69,3,1,-0.112664
1,69,4,0,-0.047674
1,69,5,1,-0.150534
1,69,6,1,-0.039195
1,69,7,1,-0.130168
1,69,8,4,-0.679378
3,70,0,1,-0.576628
1,70,1,0,-0.113295
1,70,2,3,-0.581776
2,70,3,0,-0.607901
1,70,4,3,-0.564485
3,70,7,3,-0.889713
3,70,6,0,-0.610764
3,70,7,3,-0.870649
1,70,8,0,-0.211263
3,71,0,2,-1.405218
1,71,1,4,-0.667470
3,71,2,5,-1.389090
1,71,3,4,-0.335027
1,71,4,4,-0.382332
1,71,5,4,-0.422708
1,71,6,5,-0.623404
1,71,7,4,-0.505254
1,71,8,4,-0.498607
1,72,0,1,-0.214899
1,72,1,1,-0.127038
1,72,2,4,-0.666131
1,72,3,5,-0.934807
2,72,3,5,-0.865998
2,72,5,2,-1.349334
1,72,6,4,-0.623797
1,72,7,1,-0.157542
